0142 KING, DAWN F.                  9 
0143 KING, JANET W.                 10
0144 KING, KAREN N.                 10
0145 KING, LORI W.                  9 
0146 KING, SHARON K.                12
0147 KING, SUSAN P.                 9 
0148 KNIGHT, JOHN D.                10
0149 LAMBERT, DIANE M.              11
0150 LANE, TODD B.                  9 
0151 LAWRENCE, BRIAN K.             11
0152 LAWRENCE, JAMES J.             10
0153 LEWIS, AMY H.                  11
0154 LEWIS, KAREN J.                10
0155 LEWIS, PAUL S.                 11
0156 LEWIS, SHARON C.               12
0001 LIGHTMAN, DAVID L.             11
0157 LONG, PAUL E.                  9 
0158 LONG, TERRY W.                 9 
0159 LUCAS, KEVIN W.                11
0160 LYNCH, TONY A.                 11
0002 MACK, JENNIFER K.              11
0161 MARSHALL, SUSAN H.             9 
0162 MARTIN, DANIEL T.              11
0163 MARTIN, DUANE K.               10
0164 MARTIN, GLENN F.               10
0165 MARTIN, SHANNON P.             12
0166 MARTIN, STACEY P.              11
0167 MARTIN, TAMMY E.               10
0168 MASON, JULIE R.                12
0169 MASON, PAUL T.                 9 
0170 MCDONALD, GLENN G.             12
0171 MCDONALD, PEGGY L.             12
0172 MCDONALD, TODD F.              10
0173 MILLER, BRAD W.                11
0174 MILLER, BRUCE H.               10
0175 MILLER, GARY R.                10
0176 MILLER, PEGGY T.               12
0177 MILLER, WAYNE C.               10
0178 MILLER, WILLIAM C.             11
0179 MITCHELL, MARK B.              12
0180 MITCHELL, WILLIAM H.           9 
0181 MOORE, DENISE H.               12
0182 MOORE, KAREN H.                11
0183 MOORE, PAMELA T.               12
0184 MOORE, RICHARD N.              9 
0185 MORGAN, KENNETH H.             12
0186 MORGAN, KIMBERLY A.            9 
0187 MORRIS, KENNETH F.             12
0188 MORRIS, ROGER P.               10
0189 MORRIS, ROGER W.               9 
0190 MURRAY, RANDY M.               10
0191 MYERS, RONALD C.               10
0192 MYERS, SUSAN H.                10
0193 MYERS, TRACY W.                12
0194 NEAL, VERNON C.                9 
0195 NELSON, TAMMY S.               9 
0196 NELSON, TODD N.                9 
0197 NORMAN, TERESA L.              10
0198 NORRIS, KEVIN W.               10
0199 OBRIEN, TRACY C.               11
0200 OLIVER, DAWN R.                12
0201 OLSON, BRENDA S.               11
0202 ORTIZ, MICHAEL M.              12
0203 OWENS, RHONDA M.               10
0204 OWENS, TAMMY L.                12
0205 OWENS, VICKIE W.               9 
0206 PARKER, TERRY R.               12
0207 PATTERSON, RICHARD M.          11
0208 PAYNE, LORI E.                 9 
0209 PERRY, DAWN T.                 11
0210 PERRY, ERIC A.                 9 
0211 PETERSON, CHRISTINE D.         11
0212 PETERSON, LISA D.              9 
0213 PETERSON, PEGGY A.             12
0214 PORTER, BRUCE J.               9 
0215 POWELL, JANET T.               10
0216 POWELL, JULIE S.               11
0217 PRICE, SUSAN H.                12
0218 RAMIREZ, CYNTHIA G.            9 
0219 RAMIREZ, RICHARD G.            9 
0220 RAMIREZ, WAYNE N.              10
0221 REED, DIANE T.                 12
0222 REED, KEVIN G.                 10
0223 REYNOLDS, KEITH E.             11
0224 REYNOLDS, TONY E.              11
0225 RICE, BRIAN G.                 11
0226 RICHARDSON, JAMES F.           10
0227 RIVERA, CURTIS H.              10
0228 RIVERA, RICHARD W.             10
0229 ROBERTS, PAUL H.               10
0230 ROMERO, DIANE C.               12
0231 ROMERO, DIANE S.               12
0232 ROSE, DENISE C.                11
0233 ROSS, BRIAN P.                 12
0234 RUSSELL, CURTIS S.             12
0235 RYAN, BRENDA D.                9 
0236 SCHULTZ, TRACY N.              12
0237 SCOTT, BRENDA S.               9 
0238 SCOTT, DALE M.                 12
0239 SCOTT, MARK S.                 9 
0240 SCOTT, MICHAEL P.              10
0241 SCOTT, RONALD K.               10
0242 SCOTT, SCOTT W.                11
0243 SCOTT, SHERRY A.               10
0244 SHAW, VERNON F.                12
0245 SHAW, VERNON H.                10
0246 SILVA, WENDY N.                11
0247 SIMPSON, RICHARD A.            12
0248 SIMPSON, WENDY T.              9 
0249 SIMS, CHRISTINE G.             12
0250 SMITH, CURTIS K.               12
0251 SMITH, DALE N.                 11
0252 SMITH, DANIEL P.               9 
0253 SMITH, DONNA H.                9 
0254 SMITH, KIMBERLY D.             12
0255 SMITH, MARY H.                 12
0256 SMITH, RICHARD K.              9 
0257 SMITH, SHARON P.               10
0258 SMITH, STACEY C.               10
0259 STEVENS, SCOTT R.              12
0260 STEWART, KAREN B.              10
0261 STEWART, LORI N.               12
0262 STEWART, SANDRA P.             10
0263 TAYLOR, DAWN P.                9 
0264 TAYLOR, GLENN W.               9 
0265 TAYLOR, ROGER B.               9 
0266 TAYLOR, VERNON F.              12
0267 THOMAS, AMY B.                 9 
0268 THOMAS, CRAIG R.               11
0269 THOMAS, CYNTHIA K.             11
0270 THOMAS, MARY S.                10
0271 THOMAS, PAMELA K.              12
0272 THOMAS, WENDY K.               10
0273 THOMPSON, CHRISTINE H.         9 
0274 THOMPSON, KEVIN W.             9 
0275 THOMPSON, KIMBERLY C.          9 
0276 THOMPSON, MICHAEL G.           11
0277 THOMPSON, PAMELA R.            9 
0278 THOMPSON, STACEY L.            10
0279 TURNER, DONNA J.               12
0280 TURNER, DUANE J.               10
0281 TURNER, MICHAEL M.             9 
0282 TURNER, VERNON A.              10
0283 TURNER, WENDY P.               9 
0284 WALKER, SHANNON R.             9 
0285 WARD, SHARON B.                11
0286 WASHINGTON, JAMES W.           10
0287 WASHINGTON, KENNETH D.         12
0288 WATTS, WENDY K.                12
0289 WELLS, MELISSA B.              10
0290 WEST, CAROL S.                 11
0291 WHITE, SANDRA P.               11
0292 WHITE, TONY M.                 10
0293 WILLIAMS, BRUCE L.             11
0294 WILLIAMS, BRUCE N.             12
0295 WILLIAMS, CAROL S.             11
0296 WILLIAMS, ERIC A.              10
0297 WILLIAMS, JAMES T.             10
0298 WILLIAMS, LORI T.              11
0299 WILLIAMS, MELISSA E.           10
0300 WILLIS, GLENN H.               9 
0301 WILSON, AMY A.                 12
0302 WILSON, CAROL W.               9 
0303 WILSON, DENISE P.              11
0304 WILSON, JEFFREY G.             11
0305 WILSON, KIMBERLY W.            10
0306 WILSON, VERNON B.              11
0307 WILSON, VICKIE A.              12
0308 WILSON, VICKIE L.              10
0309 WILSON, WENDY M.               9 
0310 WOOD, TIMOTHY E.               10
0311 WOOD, WAYNE P.                 10
0312 WRIGHT, CHRISTINE P.           9 
0313 WRIGHT, DENISE F.              9 
0314 WRIGHT, JULIE C.               12
0315 WRIGHT, LISA P.                10
0316 YOUNG, JAMES R.                9 
0317 YOUNG, MARY F.                 9 
0318 YOUNG, RONALD D.               12
0319 YOUNG, STACEY C.               11
0320 YOUNG, TODD L.                 10
