ADAMS/LOIS MISS            PA222 Y 05JUN
DIAZ/DONALD MR             PA245 Y 24MAY
DIAZ/MILDRED MISS          PA887 C 24JUN
DIXON/EUGENE MR            PA824 C 20MAY
DOUGLAS/GRACE MRS          PA228 F 27JUN
DUNCAN/STANLEY REV         PA697 C 23MAY
DUNN/HERBERT MR            PA160 Y 23MAY
DUNN/ROBERT COL            PA219 Y 21JUN
EDWARDS/ROBERT DR          PA257 Y 19JUN
ELLIOTT/PHYLLIS DR         PA847 C 15MAY
EVANS/RICHARD REV          PA846 Y 21MAY
FALKEN/STEPHEN PROF        PA100 F 18JUN
FISHER/STANLEY MR          PA888 C 22JUN
FLORES/CHARLES MR          PA217 C 02JUN
FLORES/JOHN COL            PA281 Y 25MAY
FOSTER/MARGARET DR         PA228 F 26JUN
FOWLER/BETTY MRS           PA196 Y 28JUN
FOX/FRANK MR               PA812 Y 11MAY
GARDNER/GRACE DR           PA648 Y 05MAY
GARDNER/JEAN MRS           PA890 C 24MAY
GARDNER/MARY MISS          PA440 C 11MAY
GARDNER/STANLEY COL        PA842 Y 19MAY
GARZA/ALBERT REV           PA152 Y 20JUN
GEORGE/RALPH MR            PA191 C 17MAY
GIBSON/SAMUEL MR           PA155 Y 07JUN
GILBERT/LEONARD MR         PA142 Y 04JUN
GILBERT/LOIS MRS           PA281 Y 01MAY
GOMEZ/FRED REV             PA208 Y 12JUN
GOMEZ/ROSE MISS            PA600 Y 25MAY
GONZALES/PHYLLIS MRS       PA197 Y 25JUN
GRAHAM/CLARENCE REV        PA845 Y 23JUN
GRAY/ANNE MRS              PA212 C 16JUN
GRAY/CHARLES DR            PA255 F 08JUN
GREEN/EDWARD COL           PA281 F 01JUN
GREENE/RAYMOND COL         PA106 C 06JUN
GREENE/RICHARD REV         PA894 Y 14MAY
GRIFFIN/EVELYN MRS         PA648 C 07JUN
GRIFFIN/GLORIA MISS        PA648 F 03JUN
GRIFFIN/KENNETH DR         PA858 Y 22JUN
GUTIERREZ/PHYLLIS MISS     PA895 Y 22MAY
HALL/ALICE MRS             PA122 Y 27JUN
HALL/ANNE DR               PA128 C 17MAY
HALL/VIRGINIA MRS          PA187 Y 14MAY
HAMILTON/CHARLES MR        PA232 F 25JUN
HAMILTON/RICHARD MR        PA642 Y 02MAY
HARRIS/EUGENE MR           PA822 Y 19MAY
HARRIS/EVELYN MISS         PA893 Y 17JUN
HARRIS/HENRY COL           PA174 Y 09JUN
HAWKINS/STANLEY DR         PA159 Y 15MAY
HAYES/EUGENE COL           PA106 Y 28JUN
HENDERSON/SAMUEL MR        PA834 F 26JUN
HERRERA/FRANCES DR         PA889 Y 26JUN
HICKS/EDWARD MR            PA201 Y 28MAY
HILL/ROBERT MR             PA269 Y 04JUN
HOLLAND/FRANCES MRS        PA812 F 20MAY
HOLLAND/LEONARD REV        PA213 Y 01MAY
HOLMES/EUGENE MR           PA213 Y 14JUN
HOLT/HERBERT DR            PA298 Y 17MAY
HUDSON/EUGENE COL          PA878 C 20MAY
HUDSON/SAMUEL DR           PA848 C 20JUN
HUGHES/CLARENCE MR         PA269 Y 26JUN
HUNT/MARY MISS             PA145 Y 25JUN
HUNT/RAYMOND COL           PA600 Y 14JUN
JACKSON/GEORGE REV         PA860 Y 22MAY
JACKSON/IRENE MRS          PA448 Y 20MAY
JACOBS/MARGARET MISS       PA201 F 12JUN
JENSEN/ELEANOR MISS        PA275 Y 01MAY
JOHNSON/ELEANOR MISS       PA179 Y 17MAY
JOHNSON/FRED COL           PA298 Y 04MAY
JOHNSON/GEORGE MR          PA858 Y 17MAY
JOHNSON/GLORIA MRS         PA281 Y 03MAY
JOHNSON/HAROLD MR          PA144 Y 10MAY
JOHNSON/LEONARD REV        PA108 Y 20MAY
JOHNSON/MARTHA MRS         PA275 Y 10MAY
JOHNSON/MARY MRS           PA100 Y 20MAY
JOHNSON/RALPH DR           PA265 C 18JUN
JOHNSON/ROBERT MR          PA145 Y 01JUN
JONES/FRANK MR             PA888 Y 15MAY
JONES/GLORIA MISS          PA642 Y 03MAY
JONES/HERBERT COL          PA209 F 07MAY
JONES/MARTHA DR            PA851 Y 25JUN
JONES/MARY MISS            PA275 C 03MAY
JONES/NORMAN MR            PA860 Y 28JUN
JORDAN/HENRY MR            PA269 Y 22JUN
JORDAN/KENNETH COL         PA642 Y 04JUN
KENNEDY/HAROLD MR          PA268 Y 25MAY
KING/DOROTHY MISS          PA862 Y 15MAY
KING/HELEN DR              PA890 F 18MAY
KNIGHT/PHYLLIS MRS         PA845 Y 16JUN
LAMBERT/ALICE MRS          PA611 Y 02MAY
LANE/SHIRLEY MRS           PA152 Y 06MAY
LAWRENCE/ELIZABETH MRS     PA238 Y 02JUN
LEWIS/NORMA MISS           PA855 Y 25MAY
LEWIS/ROBERT MR            PA279 Y 01JUN
LUNA/DORIS MISS            PA875 C 17MAY
MARTIN/CLARENCE MR         PA857 Y 19MAY
MARTIN/EDWARD MR           PA883 C 07MAY
MARTIN/ERNEST COL          PA883 Y 06MAY
MARTIN/MARION MISS         PA895 Y 14JUN
MARTIN/VIRGINIA MISS       PA166 Y 14JUN
MARTIN/WALTER MR           PA263 C 17MAY
MARTIN/WALTER REV          PA222 F 03JUN
MCCOY/ERNEST MR            PA145 Y 23MAY
MCDONALD/ELIZABETH MISS    PA813 C 15JUN
MCDONALD/EVELYN DR         PA197 Y 16MAY
MCDONALD/HELEN DR          PA208 Y 21MAY
MCDONALD/KENNETH MR        PA641 Y 06JUN
MCDONALD/MARTHA MRS        PA207 Y 21JUN
MCDONALD/NORMA MISS        PA894 Y 20MAY
MEYER/FRANCES MISS         PA822 F 23JUN
MILES/ROSE MISS            PA196 Y 02JUN
MILLER/DORIS MRS           PA845 Y 11MAY
MILLER/FRANCES MISS        PA842 Y 24JUN
MILLER/FRANCES MRS         PA265 Y 16MAY
MILLER/GRACE MISS          PA284 F 23JUN
MILLER/IRENE MRS           PA152 F 23JUN
MILLER/KENNETH COL         PA252 Y 27JUN
MILLER/RALPH DR            PA255 Y 28MAY
MILLER/ROBERT MR           PA108 Y 25JUN
MILLER/SAMUEL MR           PA257 Y 02JUN
MITCHELL/RUTH MISS         PA460 Y 01JUN
MONTGOMERY/CLARENCE COL    PA238 Y 15MAY
MOORE/ARTHUR MR            PA166 Y 15MAY
MOORE/DONALD COL           PA154 Y 03MAY
MOORE/SAMUEL MR            PA476 Y 09MAY
MOORE/SAMUEL REV           PA895 Y 08MAY
MORENO/FRED MR             PA144 C 11MAY
MORGAN/ANNE MRS            PA263 Y 15JUN
MORGAN/ELIZABETH MRS       PA647 C 01JUN
MORGAN/JEAN MRS            PA894 Y 23MAY
MORGAN/JOHN MR             PA279 Y 03MAY
MORRIS/MARY MRS            PA294 Y 19JUN
MORRIS/RICHARD DR          PA002 Y 13MAY
MORRISON/HOWARD MR         PA169 Y 28JUN
MUNOZ/DONALD COL           PA225 F 20MAY
MUNOZ/FRED MR              PA645 Y 15MAY
MURPHY/HOWARD DR           PA834 C 24MAY
MURPHY/KENNETH DR          PA834 Y 14JUN
MYERS/DOROTHY DR           PA697 Y 23JUN
MYERS/ERNEST REV           PA110 Y 07MAY
MYERS/SAMUEL MR            PA867 Y 20MAY
NELSON/ANNE MRS            PA232 F 07MAY
NELSON/FRANK COL           PA649 C 26MAY
NELSON/FRED DR             PA885 Y 04JUN
NELSON/HOWARD DR           PA816 Y 23JUN
NGUYEN/MARION MISS         PA120 Y 22MAY
NGUYEN/RAYMOND REV         PA122 Y 23MAY
NICHOLS/ERNEST DR          PA649 C 12JUN
OLIVER/ROSE MISS           PA626 C 20MAY
ORTIZ/HENRY MR             PA621 C 24MAY
ORTIZ/NORMAN MR            PA268 C 18MAY
ORTIZ/PHILIP REV           PA158 Y 02MAY
PARKER/ALICE MISS          PA138 Y 12MAY
PARKER/LOIS DR             PA184 C 15JUN
PARKER/WILLIAM REV         PA858 F 02MAY
PATTERSON/SAMUEL DR        PA476 Y 24JUN
PERRY/FRANK MR             PA816 Y 26JUN
PERRY/JEAN MRS             PA645 Y 01MAY
PETERSON/ERNEST MR         PA824 C 22JUN
PETERSON/EUGENE DR         PA894 C 28JUN
PHILLIPS/ELEANOR MRS       PA862 Y 13JUN
PIERCE/ROBERT REV          PA158 Y 07JUN
POWELL/ALBERT MR           PA817 Y 28MAY
POWERS/STANLEY MR          PA259 C 16JUN
PRICE/PHILIP DR            PA809 Y 01MAY
RAY/CLARENCE MR            PA255 Y 20JUN
REED/EVELYN MISS           PA174 Y 08MAY
REID/NORMA MRS             PA259 Y 14MAY
REYNOLDS/ROSE DR           PA893 Y 24MAY
RICHARDS/KENNETH COL       PA228 Y 01MAY
RICHARDSON/SAMUEL MR       PA820 Y 02JUN
RILEY/LEONARD REV          PA128 F 07JUN
RILEY/WILLIAM MR           PA448 Y 17JUN
RIVERA/CHARLES MR          PA831 Y 09MAY
ROBERTS/ELEANOR MISS       PA225 Y 10MAY
ROBERTS/GLORIA MISS        PA102 Y 17MAY
ROBERTS/HOWARD MR          PA159 Y 21MAY
ROBERTS/STANLEY COL        PA868 Y 18MAY
ROBERTSON/RUTH MISS        PA893 C 10JUN
RODRIQUEZ/HELEN DR         PA222 Y 26JUN
ROSE/SAMUEL MR             PA138 C 07MAY
ROSS/RICHARD MR            PA892 Y 25JUN
ROSS/WALTER MR             PA848 Y 06JUN
RUSSELL/BETTY MISS         PA002 Y 07JUN
RYAN/HAROLD DR             PA878 Y 27MAY
SANDERS/RALPH REV          PA845 Y 28MAY
SANDERS/WILLIAM DR         PA279 C 07JUN
SCOTT/ELEANOR MRS          PA191 C 13MAY
SIMMONS/ELEANOR MISS       PA232 Y 17JUN
SIMMONS/RAYMOND REV        PA805 Y 13MAY
SIMPSON/HAROLD COL         PA275 Y 26JUN
SIMPSON/LEONARD MR         PA110 Y 22MAY
SIMPSON/MILDRED MISS       PA254 Y 07MAY
SMITH/DORIS MRS            PA460 C 15JUN
SMITH/ELEANOR DR           PA867 Y 22JUN
SMITH/LOIS DR              PA600 Y 12MAY
SMITH/LOIS MISS            PA448 Y 23MAY
SMITH/MARTHA MISS          PA122 Y 17MAY
SMITH/MILDRED DR           PA697 C 03JUN
SNYDER/ALBERT DR           PA116 F 08MAY
STEPHENS/FRED MR           PA185 Y 04JUN
STEVENS/GLORIA MISS        PA152 Y 05JUN
STEWART/ANNE MRS           PA860 Y 07JUN
STEWART/EDWARD MR          PA886 Y 23JUN
STEWART/GEORGE MR          PA889 F 22MAY
STEWART/SAMUEL REV         PA259 Y 28JUN
SULLIVAN/MARION MRS        PA828 C 25MAY
SULLIVAN/NORMAN MR         PA882 Y 26MAY
TAYLOR/ARTHUR DR           PA823 Y 23JUN
TAYLOR/HELEN MRS           PA807 Y 25MAY
TAYLOR/HENRY DR            PA600 Y 04JUN
TAYLOR/MARGARET MISS       PA110 Y 21JUN
TAYLOR/STANLEY MR          PA883 Y 05MAY
TERRY/HOWARD COL           PA232 C 08JUN
THOMAS/IRENE MISS          PA645 Y 12MAY
THOMAS/RICHARD MR          PA857 Y 01JUN
THOMPSON/ARTHUR MR         PA158 Y 20MAY
THOMPSON/DONALD MR         PA209 Y 16MAY
THOMPSON/FRED COL          PA828 F 18MAY
THOMPSON/RALPH REV         PA260 Y 19JUN
TUCKER/ELEANOR DR          PA184 C 19MAY
TURNER/PHYLLIS MRS         PA888 F 21MAY
WALKER/EDWARD MR           PA862 Y 13JUN
WALKER/EVELYN MRS          PA626 Y 15MAY
WALKER/HAROLD MR           PA247 Y 23JUN
WALKER/IRENE DR            PA146 Y 27MAY
WALKER/RICHARD MR          PA400 Y 23JUN
WALKER/STANLEY REV         PA185 C 28JUN
WALLACE/FLORENCE MISS      PA860 Y 25JUN
WALLACE/STANLEY MR         PA823 Y 25JUN
WALSH/NORMAN DR            PA187 Y 16MAY
WALTERS/HENRY REV          PA254 Y 02MAY
WARD/ANNE MRS              PA838 Y 11MAY
WASHINGTON/ANNE MRS        PA626 C 20JUN
WATKINS/DOROTHY MISS       PA106 C 17JUN
WATKINS/LEONARD MR         PA893 C 18MAY
WATSON/HOWARD MR           PA887 C 01MAY
WATSON/JOHN COL            PA892 Y 10MAY
WATTS/WILLIAM COL          PA440 Y 13JUN
WEAVER/MILDRED MISS        PA630 Y 26MAY
WELLS/EDWARD MR            PA649 Y 12JUN
WHITE/ELEANOR MISS         PA222 C 20JUN
WILLIAMS/DOROTHY MISS      PA809 Y 06JUN
WILLIAMS/EUGENE MR         PA232 F 15JUN
WILLIAMS/FLORENCE MISS     PA298 F 16JUN
WILLIAMS/FRANK MR          PA126 Y 23MAY
WILLIAMS/MILDRED MISS      PA209 Y 24MAY
WILLIAMS/SHIRLEY DR        PA460 Y 02MAY
WILLIAMS/STANLEY MR        PA476 Y 11MAY
WILSON/EDWARD DR           PA108 C 23JUN
WILSON/FRED MR             PA219 Y 11MAY
WILSON/PHILIP DR           PA158 Y 10MAY
WOOD/RICHARD MR            PA877 Y 11JUN
WOOD/SHIRLEY MISS          PA002 Y 02JUN
WRIGHT/FRED MR             PA183 C 27MAY
WRIGHT/LOIS MRS            PA260 C 17JUN
WRIGHT/PHYLLIS MISS        PA813 Y 21MAY
WRIGHT/RALPH MR            PA855 C 02JUN
YOUNG/BETTY DR             PA279 Y 12JUN
YOUNG/MARTHA DR            PA122 C 24MAY
YOUNG/WILLIAM DR           PA890 Y 28JUN
